0,0.398,0.332,0.323
5,0.405,0.334,0.327
10,0.409,0.331,0.325
20,0.411,0.332,0.324
30,0.41,0.329,0.324
50,0.406,0.328,0.321
70,0.397,0.328,0.321
100,0.381,0.328,0.321
